topic,terms,example,,examples
11,"model, problem, comput, process, use, biolog, can, system, new, design","Network Coding via Evolutionary Algorithms, Rigorous Runtime Analysis of Nature Inspired Meta-heuristics, Watched Literals and Learning for Constraint Programming","Network Coding via Evolutionary Algorithms,
Rigorous Runtime Analysis of Nature Inspired Meta-heuristics,
Watched Literals and Learning for Constraint Programming","Network Coding via Evolutionary Algorithms,
Rigorous Runtime Analysis of Nature Inspired Meta-heuristics,
Watched Literals and Learning for Constraint Programming"
12,"system, interact, user, can, use, natur, dialogu, develop, languag, interfac","Unmute: Opening Spoken Language Interaction to the Currently Unheard, MaDrIgAL: MultiDimensional Interaction management and Adaptive Learning, An Infrastructure for Adaptive System Development","Unmute: Opening Spoken Language Interaction to the Currently Unheard,
MaDrIgAL: MultiDimensional Interaction management and Adaptive Learning,
An Infrastructure for Adaptive System Development","Unmute: Opening Spoken Language Interaction to the Currently Unheard,
MaDrIgAL: MultiDimensional Interaction management and Adaptive Learning,
An Infrastructure for Adaptive System Development"
13,"data, use, method, work, approach, new, report, provid, model, techniqu","Analysing Narrative Aspects of UK Preliminary Earnings Announcements and Annual Reports: Tools and Insights for Researchers and Regulators, Fast Generalised Rule Induction, Matheuristics for multi-criterion data clustering: towards multi-criterion big data analytics","Analysing Narrative Aspects of UK Preliminary Earnings Announcements and Annual Reports: Tools and Insights for Researchers and Regulators,
Fast Generalised Rule Induction,
Matheuristics for multi-criterion data clustering: towards multi-criterion big data analytics","Analysing Narrative Aspects of UK Preliminary Earnings Announcements and Annual Reports: Tools and Insights for Researchers and Regulators,
Fast Generalised Rule Induction,
Matheuristics for multi-criterion data clustering: towards multi-criterion big data analytics"
14,"patient, diseas, data, use, can, clinic, health, healthcar, care, risk","Integrated Technology Platform to Support Optimal Management of Ageing with Diabetes, SPHERE - A Sensor Platform for HEalthcare in a Residential Environment (IRC Next Steps), Feasibility Study: Integrating Games-Based Learning and Computational Modelling to Control MRSA.","Integrated Technology Platform to Support Optimal Management of Ageing with Diabetes,
SPHERE - A Sensor Platform for HEalthcare in a Residential Environment (IRC Next Steps),
Feasibility Study: Integrating Games-Based Learning and Computational Modelling to Control MRSA.","Integrated Technology Platform to Support Optimal Management of Ageing with Diabetes,
SPHERE - A Sensor Platform for HEalthcare in a Residential Environment (IRC Next Steps),
Feasibility Study: Integrating Games-Based Learning and Computational Modelling to Control MRSA."
15,"model, languag, learn, use, translat, data, machin, human, can, system","Non-Parametric Models of Phrase-based Machine Translation, Bayesian Synchronous Grammar Induction, Modelling Discourse in Statistical Machine Translation","Non-Parametric Models of Phrase-based Machine Translation,
Bayesian Synchronous Grammar Induction,
Modelling Discourse in Statistical Machine Translation","Non-Parametric Models of Phrase-based Machine Translation,
Bayesian Synchronous Grammar Induction,
Modelling Discourse in Statistical Machine Translation"
16,"use, comput, softwar, techniqu, develop, secur, can, automat, human, theori","Fast Runtime Verification via Machine Learning, Automatic repair of natural source code, Statistical Natural Language Processing Methods for Computer Program Source Code","Fast Runtime Verification via Machine Learning,
Automatic repair of natural source code,
Statistical Natural Language Processing Methods for Computer Program Source Code","Fast Runtime Verification via Machine Learning,
Automatic repair of natural source code,
Statistical Natural Language Processing Methods for Computer Program Source Code"
17,"learn, brain, network, comput, neural, use, new, design, process, can","Brain-inspired non-stationary learning., MOA: High Efficiency Deep Learning for Embedded and Mobile Platforms (Full EPSRC Fellowship Submission), Automating electron microscopy: machine learning for cluster identification","Brain-inspired non-stationary learning.,
MOA: High Efficiency Deep Learning for Embedded and Mobile Platforms (Full EPSRC Fellowship Submission),
Automating electron microscopy: machine learning for cluster identification","Brain-inspired non-stationary learning.,
MOA: High Efficiency Deep Learning for Embedded and Mobile Platforms (Full EPSRC Fellowship Submission),
Automating electron microscopy: machine learning for cluster identification"
18,"data, develop, monitor, use, detect, system, sensor, analysi, inform, cloud","Integrated software solution for the 3-dimensional capture and analysis of footwear evidence, CRITiCaL - Combatting cRiminals In The CLoud, SENSUM: Smart SENSing of landscapes Undergoing hazardous hydrogeological Movement","Integrated software solution for the 3-dimensional capture and analysis of footwear evidence,
CRITiCaL - Combatting cRiminals In The CLoud,
SENSUM: Smart SENSing of landscapes Undergoing hazardous hydrogeological Movement","Integrated software solution for the 3-dimensional capture and analysis of footwear evidence,
CRITiCaL - Combatting cRiminals In The CLoud,
SENSUM: Smart SENSing of landscapes Undergoing hazardous hydrogeological Movement"
19,"new, use, drug, materi, develop, equip, process, cell, manufactur, make","A Robot Chemist, High-throughput Differential Expression Proteomics, Capital award for Core Equipment","A Robot Chemist,
High-throughput Differential Expression Proteomics,
Capital award for Core Equipment","A Robot Chemist,
High-throughput Differential Expression Proteomics,
Capital award for Core Equipment"
20,"knowledg, ontolog, reason, use, concept, can, system, model, exampl, web","ConDOR: Consequence-Driven Ontology Reasoning, HermiT: Reasoning with Large Ontologies, LogMap: Logic-based Methods for Ontology Mapping","ConDOR: Consequence-Driven Ontology Reasoning,
HermiT: Reasoning with Large Ontologies,
LogMap: Logic-based Methods for Ontology Mapping","ConDOR: Consequence-Driven Ontology Reasoning,
HermiT: Reasoning with Large Ontologies,
LogMap: Logic-based Methods for Ontology Mapping"
